,分数_grok_grok,分数_grok_grok,分数_grok_grok,分数_grok_grok,分数_grok_grok,分数_grok_qwenvl,分数_grok_qwenvl,分数_grok_qwenvl,分数_grok_qwenvl,分数_grok_qwenvl,分数_qwenvl_qwenvl,分数_qwenvl_qwenvl,分数_qwenvl_qwenvl,分数_qwenvl_qwenvl,分数_qwenvl_qwenvl
,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
聚类,,,,,,,,,,,,,,,
0,82.73684210526316,5.9734625321536985,76.25,95.0,38,76.33552631578948,13.133189377642376,0.0,88.0,38,83.38815789473684,8.204460176343492,70.0,95.0,38
1,78.25,,78.25,78.25,1,71.5,,71.5,71.5,1,0.0,,0.0,0.0,1
2,0.0,,0.0,0.0,1,79.5,,79.5,79.5,1,0.0,,0.0,0.0,1
